Durchläufe,Zeit für join_uncorrectly,Zeit für join_correctly
0,0.06818962097167969,0.08025717735290527
10000,0.16023468971252441,0.19649291038513184
20000,0.6223127841949463,0.19378137588500977
30000,1.639845609664917,0.1687943935394287
40000,1.3981542587280273,0.22191476821899414
50000,1.3221385478973389,0.2470695972442627
60000,1.4218025207519531,0.2746446132659912
70000,1.180572748184204,0.2625267505645752
80000,1.3307406902313232,0.2825660705566406
90000,1.4258208274841309,0.3240213394165039
100000,1.3299989700317383,0.35099053382873535
110000,1.3385910987854004,0.40398335456848145
120000,1.5715281963348389,0.38802456855773926
130000,1.3825087547302246,0.4081118106842041
140000,1.6406638622283936,0.45482778549194336
150000,1.4910597801208496,0.4031031131744385
160000,1.2594308853149414,0.4465959072113037
170000,1.3070483207702637,0.4421870708465576
180000,1.2004444599151611,0.4432072639465332
190000,1.2744252681732178,0.6451222896575928
200000,1.3952229022979736,0.5122570991516113
210000,1.287247657775879,0.6241886615753174
220000,1.436150074005127,0.6013436317443848
230000,1.3648998737335205,0.5711731910705566
240000,1.4563512802124023,0.649791955947876
250000,1.372849941253662,0.6425244808197021
260000,1.606705904006958,0.724031925201416
270000,1.4803276062011719,0.7310516834259033
280000,1.6300272941589355,0.8576257228851318
290000,1.4584085941314697,0.8119401931762695
300000,1.6473300457000732,0.80299973487854
310000,1.5370895862579346,1.0140132904052734
320000,1.613715410232544,0.8571703433990479
330000,1.6712098121643066,1.0955884456634521
340000,1.6349530220031738,0.9444100856781006
350000,1.8313040733337402,1.0110652446746826
360000,1.8742294311523438,1.2396821975708008
370000,1.651038646697998,1.1398286819458008
380000,1.884857416152954,1.180555820465088
390000,1.9184730052947998,1.2687654495239258
400000,1.861870527267456,1.5091238021850586
410000,1.7729177474975586,1.4171946048736572
420000,1.8998382091522217,1.3123400211334229
430000,2.0772950649261475,1.3344488143920898
440000,2.13442063331604,1.4631133079528809
450000,2.2154440879821777,1.4683482646942139
460000,1.9262001514434814,1.7758209705352783
470000,2.0777621269226074,1.648226261138916
480000,2.2492644786834717,1.7122111320495605
490000,2.198864698410034,1.8736677169799805
500000,2.1956655979156494,1.8162188529968262
510000,2.342531681060791,2.161484479904175
520000,2.255248785018921,1.8072705268859863
530000,2.4336185455322266,1.898320198059082
540000,2.6215507984161377,1.862135887145996
550000,2.6094002723693848,1.978088140487671
560000,2.6819467544555664,1.9744174480438232
570000,2.549360990524292,2.137563943862915
580000,2.5502357482910156,2.1616735458374023
590000,2.5939958095550537,2.2242469787597656
600000,2.8581087589263916,2.174013376235962
610000,2.6289021968841553,2.401049852371216
620000,2.776994228363037,2.4244272708892822
630000,2.971262216567993,2.5982093811035156
640000,2.8859810829162598,2.389387607574463
650000,2.948411226272583,2.280280590057373
660000,3.2640492916107178,3.207251787185669
670000,3.5756964683532715,3.265916585922241
680000,3.2851107120513916,2.8703083992004395
690000,3.533902406692505,2.978492021560669
700000,4.4491729736328125,3.4148623943328857
710000,3.594691514968872,3.1954219341278076
720000,3.5651423931121826,3.468458890914917
730000,3.5152628421783447,3.2961184978485107
740000,3.62023663520813,3.5340077877044678
750000,3.6845145225524902,3.3428268432617188
760000,3.231085777282715,2.8224148750305176
770000,3.328958749771118,2.9551568031311035
780000,3.317699909210205,2.984621286392212
790000,3.413486957550049,3.0345513820648193
800000,3.446235418319702,3.2729432582855225
810000,3.4061007499694824,3.2016215324401855
820000,3.451139211654663,3.342190742492676
830000,3.621879816055298,3.2462117671966553
840000,3.5191104412078857,3.4063708782196045
850000,3.645266056060791,3.3054871559143066
860000,3.705500364303589,3.5602550506591797
870000,3.768925666809082,3.8692538738250732
880000,3.791853427886963,3.774521827697754
890000,3.7111191749572754,3.523348569869995
900000,4.0032970905303955,3.559922218322754
910000,3.864265203475952,3.6171822547912598
920000,3.874976634979248,3.451983690261841
930000,4.028993606567383,3.475717067718506
940000,4.010955095291138,3.7910971641540527
950000,3.8639001846313477,3.6826162338256836
960000,4.035776138305664,3.9192895889282227
970000,4.184545993804932,3.9181132316589355
980000,4.5609636306762695,3.7022194862365723
990000,4.092633008956909,3.8847827911376953
